YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-09,WEEKDAY,13,TRAIN,CC28,3514,2840
2024-09,WEEKDAY,10,TRAIN,CC3,2573,13012
2024-09,WEEKDAY,6,TRAIN,BP8,4261,3082
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,BP5,1184,866
2024-09,WEEKDAY,0,TRAIN,NS7,768,2564
2024-09,WEEKDAY,14,TRAIN,DT34,3563,4838
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,BP4,731,835
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,NS17/CC15,244,1024
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,CC16,20,243
2024-09,WEEKDAY,13,TRAIN,NE8,30889,28049
2024-09,WEEKDAY,11,TRAIN,EW21/CC22,25491,21461
2024-09,WEEKDAY,16,TRAIN,NE8,29291,30465
2024-09,WEEKDAY,6,TRAIN,EW5,39330,15347
2024-09,WEEKDAY,22,TRAIN,TE3,2665,11035
2024-09,WEEKDAY,8,TRAIN,EW25,37105,11900
2024-09,WEEKDAY,14,TRAIN,CC5,4501,5512
2024-09,WEEKDAY,12,TRAIN,TE14/NS22,55740,104990
2024-09,WEEKDAY,13,TRAIN,PW6,1895,2017
2024-09,WEEKDAY,6,TRAIN,EW32,4794,10432
2024-09,WEEKDAY,11,TRAIN,CC23,11562,14673
2024-09,WEEKDAY,20,TRAIN,TE13,4978,2661
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,EW19,9923,6443
2024-09,WEEKDAY,11,TRAIN,BP13,1319,547
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,NS20,16832,13130
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,NS23,26748,6658
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,CC12,4459,2455
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,NS24/NE6/CC1,16115,22938
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,SE1,2796,1010
2024-09,WEEKENDS/HOLIDAY,8,TRAIN,NE16/STC,19078,8294
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,BP6/DT1,10693,22703
2024-09,WEEKDAY,20,TRAIN,PE1,1533,6426
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,TE29,299,169
2024-09,WEEKENDS/HOLIDAY,5,TRAIN,EW23,777,319
2024-09,WEEKDAY,6,TRAIN,EW33,13091,7113
2024-09,WEEKDAY,19,TRAIN,NE10,20821,30845
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,TE4,2291,1717
2024-09,WEEKDAY,8,TRAIN,BP7,2758,962
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,TE15,877,1161
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,EW8/CC9,23688,12615
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,NE16/STC,2193,10147
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,NS28,2034,2911
2024-09,WEEKDAY,19,TRAIN,CC23,51445,7274
2024-09,WEEKDAY,13,TRAIN,TE22,2248,4576
2024-09,WEEKDAY,22,TRAIN,TE4,2840,3385
2024-09,WEEKDAY,20,TRAIN,TE26,12265,8892
2024-09,WEEKDAY,16,TRAIN,TE25,2807,4019
2024-09,WEEKDAY,19,TRAIN,SE3,1856,9112
2024-09,WEEKDAY,20,TRAIN,CC14,3097,7869
2024-09,WEEKDAY,0,TRAIN,EW12/DT14,1022,1441
2024-09,WEEKDAY,0,TRAIN,NE4/DT19,397,1156
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,CC27,547,1167
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,PW2,57,249
2024-09,WEEKDAY,0,TRAIN,NE10,77,552
2024-09,WEEKDAY,5,TRAIN,NS13,27473,4372
2024-09,WEEKDAY,13,TRAIN,TE27,9108,5791
2024-09,WEEKDAY,14,TRAIN,CC17/TE9,6645,6127
2024-09,WEEKDAY,8,TRAIN,EW9,50239,38937
2024-09,WEEKDAY,10,TRAIN,NS5,26440,12871
2024-09,WEEKDAY,7,TRAIN,SE1,13661,10437
2024-09,WEEKDAY,8,TRAIN,DT24,18860,12417
2024-09,WEEKDAY,20,TRAIN,NS20,47410,17849
2024-09,WEEKDAY,12,TRAIN,TE13,5879,4406
2024-09,WEEKDAY,13,TRAIN,PE2,9107,6101
2024-09,WEEKENDS/HOLIDAY,16,TRAIN,NS12,7472,7534
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,CC25,3344,2416
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,PE3,3669,2435
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,TE18,2087,5070
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,CC11,5322,4041
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,SE4,1939,1594
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,CC11,8587,6771
2024-09,WEEKDAY,12,TRAIN,DT21,7740,9624
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,CC10/DT26,5945,6872
